Mn,Fe,Co,log(k*)400ºC (cm/s)
0.879518072,0.008032129,0.112449799,-11.07653917
0.875502008,0.008032129,0.116465863,-11.07653917
0.871485944,0.008032129,0.120481928,-11.07653917
0.86746988,0.008032129,0.124497992,-11.07653917
0.863453815,0.008032129,0.128514056,-11.07653917
0.859437751,0.008032129,0.13253012,-11.07653917
0.855421687,0.008032129,0.136546185,-11.07634916
0.851405622,0.008032129,0.140562249,-11.07634916
0.847389558,0.008032129,0.144578313,-11.07634916
0.843373494,0.008032129,0.148594378,-11.07634916
0.83935743,0.008032129,0.152610442,-11.07634916
0.835341365,0.008032129,0.156626506,-11.07634916
0.831325301,0.008032129,0.16064257,-11.07634916
0.827309237,0.008032129,0.164658635,-11.07634916
0.823293173,0.008032129,0.168674699,-11.07634916
0.819277108,0.008032129,0.172690763,-11.07634916
0.815261044,0.008032129,0.176706827,-11.07634916
0.81124498,0.008032129,0.180722892,-11.07634916
0.807228916,0.008032129,0.184738956,-11.07634916
0.803212851,0.008032129,0.18875502,-11.07592068
0.799196787,0.008032129,0.192771084,-11.07592068
0.795180723,0.008032129,0.196787149,-11.07519406
0.791164659,0.008032129,0.200803213,-11.07519406
0.787148594,0.008032129,0.204819277,-11.07519406
0.78313253,0.008032129,0.208835341,-11.07519406
0.779116466,0.008032129,0.212851406,-11.07519406
0.775100402,0.008032129,0.21686747,-11.07519406
0.771084337,0.008032129,0.220883534,-11.07519406
0.767068273,0.008032129,0.224899598,-11.07519406
0.763052209,0.008032129,0.228915663,-11.07519406
0.759036145,0.008032129,0.232931727,-11.07519406
0.75502008,0.008032129,0.236947791,-11.07519406
0.751004016,0.008032129,0.240963855,-11.07519406
0.746987952,0.008032129,0.24497992,-11.07519406
0.742971888,0.008032129,0.248995984,-11.07519406
0.738955823,0.008032129,0.253012048,-11.0720685
0.734939759,0.008032129,0.257028112,-11.0720685
0.730923695,0.008032129,0.261044177,-11.0720685
0.726907631,0.008032129,0.265060241,-11.0687077
0.722891566,0.008032129,0.269076305,-11.05805694
0.718875502,0.008032129,0.273092369,-11.05805694
0.714859438,0.008032129,0.277108434,-11.01370074
0.710843373,0.008032129,0.281124498,-11.01370074
0.706827309,0.008032129,0.285140562,-11.01370074
0.702811245,0.008032129,0.289156627,-11.01048934
0.698795181,0.008032129,0.293172691,-11.01048934
0.694779116,0.008032129,0.297188755,-10.99138558
0.690763052,0.008032129,0.301204819,-10.94617645
0.686746988,0.008032129,0.305220884,-10.94617645
0.682730924,0.008032129,0.309236948,-10.9023955
0.678714859,0.008032129,0.313253012,-10.85725813
0.674698795,0.008032129,0.317269076,-10.83856231
0.670682731,0.008032129,0.321285141,-10.83904818
0.666666667,0.008032129,0.325301205,-10.82869029
0.662650602,0.008032129,0.329317269,-10.82377324
0.658634538,0.008032129,0.333333333,-10.80161466
0.654618474,0.008032129,0.337349398,-10.78470744
0.65060241,0.008032129,0.341365462,-10.73911813
0.646586345,0.008032129,0.345381526,-10.6601064
0.642570281,0.008032129,0.34939759,-10.65564008
0.638554217,0.008032129,0.353413655,-10.64622157
0.634538153,0.008032129,0.357429719,-10.60546319
0.630522088,0.008032129,0.361445783,-10.51539579
0.626506024,0.008032129,0.365461847,-10.49590566
0.62248996,0.008032129,0.369477912,-10.46246282
0.618473896,0.008032129,0.373493976,-10.41297295
0.614457831,0.008032129,0.37751004,-10.40111511
