Mn,Fe,Co,Activation Energy - E_a (eV)
0.81124498,0.008032129,0.180722892,1.673462573
0.807228916,0.008032129,0.184738956,1.673462573
0.803212851,0.008032129,0.18875502,1.671476155
0.799196787,0.008032129,0.192771084,1.671476155
0.795180723,0.008032129,0.196787149,1.669196001
0.791164659,0.008032129,0.200803213,1.669196001
0.787148594,0.008032129,0.204819277,1.669196001
0.78313253,0.008032129,0.208835341,1.669196001
0.779116466,0.008032129,0.212851406,1.669196001
0.775100402,0.008032129,0.21686747,1.669196001
0.771084337,0.008032129,0.220883534,1.669196001
0.767068273,0.008032129,0.224899598,1.669196001
0.763052209,0.008032129,0.228915663,1.669196001
0.759036145,0.008032129,0.232931727,1.669196001
0.75502008,0.008032129,0.236947791,1.669196001
0.751004016,0.008032129,0.240963855,1.669196001
0.746987952,0.008032129,0.24497992,1.669196001
0.742971888,0.008032129,0.248995984,1.669196001
0.738955823,0.008032129,0.253012048,1.66686593
0.734939759,0.008032129,0.257028112,1.66686593
0.730923695,0.008032129,0.261044177,1.66686593
0.726907631,0.008032129,0.265060241,1.664581573
0.722891566,0.008032129,0.269076305,1.65561043
0.718875502,0.008032129,0.273092369,1.65561043
0.714859438,0.008032129,0.277108434,1.623340234
0.710843373,0.008032129,0.281124498,1.623340234
0.706827309,0.008032129,0.285140562,1.623340234
0.702811245,0.008032129,0.289156627,1.621134411
0.698795181,0.008032129,0.293172691,1.621134411
0.694779116,0.008032129,0.297188755,1.612187081
0.690763052,0.008032129,0.301204819,1.593438426
0.686746988,0.008032129,0.305220884,1.593438426
0.682730924,0.008032129,0.309236948,1.581236842
0.678714859,0.008032129,0.313253012,1.572074016
0.674698795,0.008032129,0.317269076,1.567600079
0.670682731,0.008032129,0.321285141,1.568634856
0.666666667,0.008032129,0.325301205,1.565072876
0.662650602,0.008032129,0.329317269,1.563693891
0.658634538,0.008032129,0.333333333,1.555763272
0.654618474,0.008032129,0.337349398,1.544471257
0.65060241,0.008032129,0.341365462,1.517461471
0.646586345,0.008032129,0.345381526,1.409934573
0.642570281,0.008032129,0.34939759,1.402163923
0.638554217,0.008032129,0.353413655,1.391305536
0.634538153,0.008032129,0.357429719,1.380726001
0.630522088,0.008032129,0.361445783,1.344133097
0.626506024,0.008032129,0.365461847,1.334102144
0.62248996,0.008032129,0.369477912,1.309853507
0.618473896,0.008032129,0.373493976,1.284135666
0.614457831,0.008032129,0.37751004,1.277412483
0.610441767,0.008032129,0.381526104,1.258447582
0.606425703,0.008032129,0.385542169,1.25681694
0.602409639,0.008032129,0.389558233,1.253533519
0.598393574,0.008032129,0.393574297,1.246317569
0.59437751,0.008032129,0.397590361,1.242381446
0.590361446,0.008032129,0.401606426,1.243582615
0.586345382,0.008032129,0.40562249,1.247511045
0.582329317,0.008032129,0.409638554,1.245816293
0.578313253,0.008032129,0.413654618,1.245105358
0.574297189,0.008032129,0.417670683,1.239707563
0.570281124,0.008032129,0.421686747,1.239373708
0.56626506,0.008032129,0.425702811,1.242515527
0.562248996,0.008032129,0.429718876,1.242964135
0.558232932,0.008032129,0.43373494,1.246539054
0.554216867,0.008032129,0.437751004,1.246692617
0.550200803,0.008032129,0.441767068,1.24787563
0.546184739,0.008032129,0.445783133,1.254274992
